typhoon_name,grid_point_id,typhoon_year_x,wind_speed,track_distance,total_buildings_x,total_buildings_damaged,perc_dmg_grid,typhoon_year_y,rainfall_max_6h,rainfall_max_24h,Centroid,IWI,total_buildings,id,with_coast,coast_length,mean_altitude,mean_slope
TOMAS,2371,2010,38.05958765572369,81.01260574446624,102.0,32.333333333333336,0.0027870999425644,2010,0.4583333333333333,0.1958333333333333,178.85E_-16.75N,74.7,102,2371,0,0.0,0.0,0.0
EVAN,2371,2012,39.49090275361768,69.68069106032925,102.0,80.66666666666667,0.0069533833618618,2012,1.1166666666666667,0.3208333333333333,178.85E_-16.75N,74.7,102,2371,0,0.0,0.0,0.0
WINSTON,2371,2016,41.56415008648321,68.49265972987324,102.0,1129.0,0.0973186340769667,2016,0.1083333333333333,0.03125,178.85E_-16.75N,74.7,102,2371,0,0.0,0.0,0.0
GITA,2371,2018,0.0,462.7017812467893,0.0,0.0,0.0,2018,0.0333333333333333,0.0104166666666666,178.85E_-16.75N,74.7,102,2371,0,0.0,0.0,0.0
SARAI,2371,2019,0.0,325.5245682781103,102.0,1.3333333333333333,0.0001149319563944,2019,2.3666666666666667,0.8375,178.85E_-16.75N,74.7,102,2371,0,0.0,0.0,0.0
TINO,2371,2020,10.600698845676776,184.85982396448088,102.0,2.6666666666666665,0.0002298639127888,2020,0.9416666666666668,0.4125,178.85E_-16.75N,74.7,102,2371,0,0.0,0.0,0.0
HAROLD,2371,2020,9.534293700507716,260.4264647894397,0.0,0.0,0.0,2020,3.1666666666666665,1.3208333333333333,178.85E_-16.75N,74.7,102,2371,0,0.0,0.0,0.0
YASA,2371,2020,44.46522133422938,22.35846266065426,102.0,1547.0,0.1333498024066143,2020,0.8083333333333335,0.2854166666666667,178.85E_-16.75N,74.7,102,2371,0,0.0,0.0,0.0
ANA,2371,2021,24.649273563430512,99.37402152460056,102.0,62.0,0.00534433597234,2021,4.366666666666666,2.7270833333333333,178.85E_-16.75N,74.7,102,2371,0,0.0,0.0,0.0
TOMAS,2372,2010,37.20581497459487,79.80156548525258,908.0,32.333333333333336,0.0248106543906717,2010,0.525,0.26875,178.85E_-16.85N,74.7,908,2372,1,20953.352379353688,0.0,0.0
EVAN,2372,2012,37.22297034744469,77.97623087940157,908.0,80.66666666666667,0.0618987460055933,2012,1.3083333333333331,0.3729166666666667,178.85E_-16.85N,74.7,908,2372,1,20953.352379353688,0.0,0.0
WINSTON,2372,2016,46.48684008771131,57.53382135303056,908.0,1129.0,0.8663266641361353,2016,0.125,0.0520833333333333,178.85E_-16.85N,74.7,908,2372,1,20953.352379353688,0.0,0.0
GITA,2372,2018,0.0,451.63204836532975,0.0,0.0,0.0,2018,0.0583333333333333,0.0166666666666666,178.85E_-16.85N,74.7,908,2372,1,20953.352379353688,0.0,0.0
SARAI,2372,2019,0.0,315.5119273408883,908.0,1.3333333333333333,0.0010231197686874,2019,2.158333333333333,0.9583333333333334,178.85E_-16.85N,74.7,908,2372,1,20953.352379353688,0.0,0.0
TINO,2372,2020,10.119945504668127,195.3263688525115,908.0,2.6666666666666665,0.0020462395373749,2020,0.925,0.3395833333333333,178.85E_-16.85N,74.7,908,2372,1,20953.352379353688,0.0,0.0
HAROLD,2372,2020,10.100470372705889,250.559912441803,0.0,0.0,0.0,2020,3.358333333333333,1.2770833333333331,178.85E_-16.85N,74.7,908,2372,1,20953.352379353688,0.0,0.0
YASA,2372,2020,36.51297526554048,32.21894575129646,908.0,1547.0,1.187074711619665,2020,0.2833333333333334,0.1479166666666666,178.85E_-16.85N,74.7,908,2372,1,20953.352379353688,0.0,0.0
ANA,2372,2021,25.181601348120136,95.8678460413614,908.0,62.0,0.0475750692439684,2021,6.016666666666667,3.0625,178.85E_-16.85N,74.7,908,2372,1,20953.352379353688,0.0,0.0
TOMAS,2373,2010,36.58411390847314,78.59052522603889,157.0,32.333333333333336,0.0042899479508099,2010,0.5083333333333333,0.24375,178.85E_-16.95N,74.7,157,2373,1,16318.855547205563,0.0,0.0
EVAN,2373,2012,34.874805401346634,86.2717706984739,157.0,80.66666666666667,0.0107027567432578,2012,0.925,0.3041666666666666,178.85E_-16.95N,74.7,157,2373,1,16318.855547205563,0.0,0.0
WINSTON,2373,2016,52.45171827264406,46.57498297618789,157.0,1129.0,0.1497943681380762,2016,0.1083333333333333,0.0499999999999999,178.85E_-16.95N,74.7,157,2373,1,16318.855547205563,0.0,0.0
GITA,2373,2018,0.0,440.5643426928415,0.0,0.0,0.0,2018,0.0333333333333333,0.0104166666666666,178.85E_-16.95N,74.7,157,2373,1,16318.855547205563,0.0,0.0
SARAI,2373,2019,0.0,305.57514989945423,157.0,1.3333333333333333,0.0001769050701364,2019,1.9916666666666665,1.0583333333333331,178.85E_-16.95N,74.7,157,2373,1,16318.855547205563,0.0,0.0
TINO,2373,2020,9.662317065442654,205.79291374054216,157.0,2.6666666666666665,0.0003538101402729,2020,1.0833333333333337,0.35625,178.85E_-16.95N,74.7,157,2373,1,16318.855547205563,0.0,0.0
HAROLD,2373,2020,10.70366493250492,240.21486025921385,0.0,0.0,0.0,2020,3.2750000000000004,1.1041666666666667,178.85E_-16.95N,74.7,157,2373,1,16318.855547205563,0.0,0.0
YASA,2373,2020,30.311980314972843,41.10690506466129,157.0,1547.0,0.2052541076258671,2020,0.1833333333333333,0.08125,178.85E_-16.95N,74.7,157,2373,1,16318.855547205563,0.0,0.0
ANA,2373,2021,26.06303872989205,93.1052691911662,157.0,62.0,0.0082260857613469,2021,7.483333333333333,3.4645833333333336,178.85E_-16.95N,74.7,157,2373,1,16318.855547205563,0.0,0.0
TOMAS,2380,2010,35.5321564549923,72.35021159212627,1286.0,55.25,0.1577606813660991,2010,1.0416666666666667,0.2895833333333333,178.85E_-17.65N,71.4,1286,2380,1,19932.444313478583,0.0,0.0
EVAN,2380,2012,23.15451077395005,143.29036224289328,0.0,0.0,0.0,2012,0.2083333333333333,0.10625,178.85E_-17.65N,71.4,1286,2380,1,19932.444313478583,0.0,0.0
WINSTON,2380,2016,74.2734323871088,30.136885661710803,1286.0,1487.0,4.245975261382614,2016,0.0833333333333333,0.0229166666666666,178.85E_-17.65N,71.4,1286,2380,1,19932.444313478583,0.0,0.0
GITA,2380,2018,0.0,363.162729701657,0.0,0.0,0.0,2018,0.0083333333333333,0.0020833333333333,178.85E_-17.65N,71.4,1286,2380,1,19932.444313478583,0.0,0.0
SARAI,2380,2019,19.946650872533567,238.80782235758343,1286.0,6.5,0.0185600801607175,2019,1.3833333333333335,0.7125,178.85E_-17.65N,71.4,1286,2380,1,19932.444313478583,0.0,0.0
TINO,2380,2020,6.781383419340191,279.0587279567566,1286.0,0.0,0.0,2020,3.408333333333333,1.0416666666666667,178.85E_-17.65N,71.4,1286,2380,1,19932.444313478583,0.0,0.0
HAROLD,2380,2020,16.13805713547318,167.79949498108968,1286.0,4.0,0.0114215877912107,2020,0.8416666666666668,0.2833333333333333,178.85E_-17.65N,71.4,1286,2380,1,19932.444313478583,0.0,0.0
YASA,2380,2020,17.914341571394726,103.32860611965953,0.0,0.0,0.0,2020,0.6416666666666667,0.2749999999999999,178.85E_-17.65N,71.4,1286,2380,1,19932.444313478583,0.0,0.0
ANA,2380,2021,27.20356806307672,77.40017414538241,1286.0,11.0,0.0314093664258297,2021,5.825,2.3833333333333333,178.85E_-17.65N,71.4,1286,2380,1,19932.444313478583,0.0,0.0
TOMAS,2381,2010,35.03801282578964,72.68702261276236,585.0,55.25,0.0717651622077511,2010,0.9583333333333334,0.2708333333333333,178.85E_-17.75N,71.4,585,2381,1,12818.688827558262,10.903549382716047,7.911057078428165
EVAN,2381,2012,22.050768642608016,151.42332876099303,0.0,0.0,0.0,2012,0.175,0.0604166666666666,178.85E_-17.75N,71.4,585,2381,1,12818.688827558262,10.903549382716047,7.911057078428165
WINSTON,2381,2016,65.30417284042998,41.09572403855349,585.0,1487.0,1.93148952403486,2016,0.0,0.0,178.85E_-17.75N,71.4,585,2381,1,12818.688827558262,10.903549382716047,7.911057078428165
GITA,2381,2018,0.0,352.11860897440613,0.0,0.0,0.0,2018,0.0,0.0,178.85E_-17.75N,71.4,585,2381,1,12818.688827558262,10.903549382716047,7.911057078428165
SARAI,2381,2019,20.64540704626176,229.56605019941296,585.0,6.5,0.0084429602597354,2019,1.5833333333333333,0.8875000000000001,178.85E_-17.75N,71.4,585,2381,1,12818.688827558262,10.903549382716047,7.911057078428165
TINO,2381,2020,6.55289316090576,289.5252728447873,585.0,0.0,0.0,2020,2.466666666666667,0.8166666666666668,178.85E_-17.75N,71.4,585,2381,1,12818.688827558262,10.903549382716047,7.911057078428165
HAROLD,2381,2020,17.10355820940664,157.45444279850048,585.0,4.0,0.0051956678521448,2020,0.7083333333333334,0.3145833333333333,178.85E_-17.75N,71.4,585,2381,1,12818.688827558262,10.903549382716047,7.911057078428165
YASA,2381,2020,16.37288295651902,112.47984434708208,0.0,0.0,0.0,2020,0.9666666666666668,0.4020833333333333,178.85E_-17.75N,71.4,585,2381,1,12818.688827558262,10.903549382716047,7.911057078428165
ANA,2381,2021,26.546345318966218,75.66584009543988,585.0,11.0,0.0142880865933984,2021,4.4,1.929166666666667,178.85E_-17.75N,71.4,585,2381,1,12818.688827558262,10.903549382716047,7.911057078428165
