index,grid_point_id,IWI,total_buildings,with_coast,coast_length,mean_altitude,mean_slope
819,1471,86.0,670,0,0.0,696.3055555555555,79.26911901416948
828,1472,86.0,457,0,0.0,687.0262345679013,81.42627211042264
837,1473,85.4,119,0,0.0,673.6905864197531,79.59288602498923
846,1474,78.4,170,0,0.0,532.9969135802469,80.8232503174307
855,1475,78.4,0,0,0.0,94.2199074074074,57.78241289984162
864,1476,78.4,17,0,0.0,0.0,0.0
873,1477,78.4,573,1,35025.729122445366,0.0,0.0
882,1478,78.4,120,1,8855.57442762293,0.0,0.0
891,1486,71.4,443,1,32026.55027549077,0.0,0.0
900,1569,73.0,927,1,41212.44137337495,170.570987654321,76.06827860096155
909,1570,73.0,938,1,2109.468020177332,257.61805555555554,79.89116014264552
918,1571,85.4,259,0,0.0,564.6118827160494,82.71329869038033
927,1572,85.4,146,0,0.0,645.9112654320987,81.0743454600424
936,1573,85.4,409,0,0.0,738.5655864197531,78.85773949625148
945,1574,85.4,288,0,0.0,713.545524691358,81.29122263319842
954,1575,85.4,430,0,0.0,597.1836419753087,82.08600197074945
963,1576,78.4,994,0,0.0,270.74845679012344,78.56648068619315
972,1577,78.4,382,0,0.0,25.969135802469136,21.59408521049077
981,1578,78.4,1930,1,20951.78626493067,0.0,0.0
990,1579,82.2,29,1,4803.588062340989,0.0,0.0
999,1580,82.2,68,1,7652.683777397448,0.0,0.0
1008,1586,71.4,381,1,21178.52287023263,0.0,0.0
1017,1587,71.4,628,1,43033.68842701866,0.0,0.0
1026,1669,73.0,0,1,1409.9205126470456,5.9359567901234565,21.602499546099423
1035,1670,73.0,5041,1,49042.568466062585,146.17283950617283,74.16340949190298
1044,1671,73.0,642,0,0.0,390.9421296296296,82.53842307971229
1053,1672,73.0,1748,0,0.0,439.1983024691358,81.78056470631688
1062,1673,85.4,1248,0,0.0,445.5679012345679,82.05988701035989
1071,1674,85.4,368,0,0.0,259.9012345679012,81.4599239077663
1080,1675,85.4,631,0,0.0,309.7199074074074,78.09726073146915
1089,1676,85.4,0,0,0.0,199.7021604938272,76.5202345244725
1098,1677,85.4,490,0,0.0,286.28317901234567,79.93846687378206
1107,1678,78.4,480,0,0.0,37.28395061728395,40.41623770807136
1116,1679,78.4,3599,1,47869.837710537606,0.0,0.0
1125,1680,82.2,358,1,38315.09815007022,0.0,0.0
1134,1681,82.2,258,1,28878.050225313807,0.0,0.0
1143,1686,71.4,30,1,9987.788962376146,0.0,0.0
1152,1687,71.4,932,1,62351.91699219264,0.0,0.0
1161,1688,71.4,318,1,54205.820355699485,0.0,0.0
1170,1765,74.7,0,1,9504.38550168008,0.0,0.0
1179,1766,74.7,0,1,23856.244613258845,0.0,0.0
1188,1770,73.0,103,1,17556.484482588505,0.1496913580246913,0.4937023401482048
1197,1771,73.0,918,1,54253.38045495348,97.0516975308642,60.59393932496423
1206,1772,73.0,1675,1,41864.23840903647,230.40740740740745,79.59681891005503
1215,1773,73.0,1542,0,0.0,244.76157407407408,81.2101521127388
1224,1774,85.4,1173,0,0.0,217.81635802469137,78.49587495873767
1233,1775,85.4,597,0,0.0,196.83641975308643,79.74083767911591
1242,1776,85.4,762,0,0.0,174.22376543209876,79.5431081538775
1251,1777,85.4,198,0,0.0,127.39891975308642,72.8621889100935
1260,1778,85.4,343,0,0.0,76.10339506172839,51.51957636439362
1269,1779,78.4,1494,1,41671.924015872166,50.61111111111112,26.18437154579025
1278,1780,78.4,0,1,6420.2560055011845,0.779320987654321,2.0906022191059264
1287,1787,71.4,241,1,40615.75393418664,0.0,0.0
1296,1788,71.4,235,1,35172.54196349107,0.0,0.0
1305,1866,74.7,0,1,3902.8230703766335,0.0,0.0
1314,1867,74.7,114,1,22846.3165130805,0.0,0.0
1323,1873,73.0,159,1,26800.06514603605,178.91126543209876,80.57504612661162
1332,1874,73.0,452,1,29912.49043967647,73.11111111111111,70.96249362981526
1341,1875,79.3,2032,0,0.0,61.37422839506173,66.31224422062026
1350,1876,85.4,817,0,0.0,171.679012345679,79.41350258419764
1359,1877,85.4,2246,0,0.0,174.5655864197531,79.62442253143146
1368,1878,85.4,1310,0,0.0,275.875,70.74007033118659
1377,1879,85.4,143,0,0.0,44.32330246913581,17.958077444358665
1386,1880,82.2,2227,1,38785.12625550969,0.0,0.0
1395,1888,71.4,314,1,24994.05820439919,0.0,0.0
1404,1889,71.4,544,1,47576.58923500757,0.0,0.0
1413,1967,74.7,16,1,24244.04837187476,0.0655864197530864,0.2435742042275966
1422,1968,74.7,0,1,5909.268365592598,0.0,0.0
1431,1973,73.0,0,1,1691.1431874367304,8.125096525096525,18.962503576060566
1440,1975,79.3,604,1,26940.78845481902,52.37065637065637,64.90527071414965
1449,1976,79.3,630,1,343.7294866234866,94.0841049382716,70.9977217572796
1458,1977,79.3,1172,0,0.0,135.77623456790124,76.15385240987099
1467,1978,85.4,396,0,0.0,287.5632716049383,80.87607307950425
1476,1979,85.4,1733,0,0.0,84.95370370370371,29.96556326600641
1485,1980,85.4,9246,0,0.0,0.0,0.0
